iter	Passed	Remaining
307	1371	3081
308	1375	3075
309	1380	3072
310	1383	3064
311	1386	3057
312	1389	3049
313	1395	3048
314	1398	3041
315	1401	3033
316	1404	3025
317	1407	3019
318	1412	3015
319	1415	3008
320	1418	3000
321	1421	2992
322	1426	2990
323	1430	2983
324	1432	2975
325	1435	2968
326	1439	2963
327	1444	2958
328	1447	2951
329	1450	2944
330	1452	2936
331	1457	2932
332	1461	2926
333	1463	2919
334	1466	2911
335	1469	2904
336	1474	2901
337	1478	2896
338	1482	2890
339	1485	2883
340	1490	2880
341	1494	2876
342	1498	2870
343	1501	2863
344	1506	2860
345	1510	2854
346	1513	2847
347	1516	2840
348	1521	2837
349	1525	2832
350	1528	2825
351	1531	2819
352	1537	2817
353	1541	2812
354	1544	2805
355	1546	2798
356	1550	2791
357	1554	2787
358	1557	2780
359	1559	2773
360	1562	2765
361	1565	2759
362	1570	2755
363	1573	2749
364	1576	2742
365	1578	2735
366	1582	2728
367	1586	2723
368	1588	2717
369	1591	2710
370	1594	2702
371	1597	2696
372	1601	2692
373	1605	2686
374	1608	2681
375	1611	2675
376	1616	2672
377	1620	2665
378	1622	2658
379	1625	2652
380	1628	2645
381	1632	2641
382	1636	2636
383	1639	2630
384	1642	2623
385	1647	2620
386	1651	2615
387	1654	2609
388	1656	2602
389	1659	2596
390	1664	2592
391	1668	2587
392	1671	2581
393	1674	2575
394	1679	2572
395	1683	2567
396	1686	2561
397	1689	2555
398	1696	2555
399	1700	2551
400	1703	2545
401	1707	2539
402	1712	2536
403	1715	2531
404	1718	2524
405	1721	2518
406	1724	2512
407	1729	2509
408	1732	2503
409	1735	2497
410	1737	2490
411	1741	2485
412	1746	2481
413	1749	2476
414	1752	2470
415	1755	2464
416	1759	2460
417	1763	2455
418	1766	2448
419	1769	2443
420	1771	2436
421	1776	2433
422	1779	2427
423	1782	2421
424	1785	2415
