iter	RMSE
0	73.83552242
1	70.72709967
2	67.75901709
3	65.0457259
4	62.50023519
5	60.03996748
6	57.84521669
7	55.80828613
8	53.88307099
9	52.11566652
10	50.541687
11	49.05525271
12	47.60938282
13	46.3692272
14	45.1336104
15	44.02820576
16	43.04456676
17	42.10903865
18	41.26895042
19	40.47549889
20	39.77188927
21	39.09038397
22	38.45028099
23	37.92976567
24	37.43520915
25	37.00551415
26	36.56987149
27	36.18738263
28	35.84258286
29	35.52144507
30	35.24008746
31	34.99536473
32	34.76000004
33	34.53486854
34	34.34173985
35	34.16692469
36	33.99185351
37	33.82924651
38	33.69258634
39	33.56553567
40	33.45437136
41	33.34476252
42	33.23702778
43	33.13773678
44	33.04737608
45	32.98194546
46	32.90583096
47	32.83658491
48	32.7733438
49	32.71917767
50	32.6689161
51	32.62204717
52	32.57777331
53	32.53675119
54	32.50780296
55	32.46220048
56	32.424938
57	32.39572904
58	32.36025331
59	32.33150667
60	32.30621058
61	32.27145451
62	32.2469316
63	32.20696543
64	32.18289945
65	32.16258091
66	32.13611012
67	32.10102918
68	32.07398722
69	32.05250055
70	32.02797109
71	32.0133406
72	31.98581974
73	31.96801349
74	31.94841426
75	31.93008167
76	31.91222599
77	31.89449335
78	31.86915163
79	31.8534885
80	31.8394608
81	31.82800837
82	31.81562728
83	31.79624617
84	31.76927378
85	31.74521244
86	31.73836952
87	31.72430483
88	31.71522293
89	31.70716394
90	31.69128948
91	31.66306021
92	31.63255239
93	31.61825553
94	31.60305897
95	31.5888811
96	31.5737231
97	31.55457237
98	31.54585069
99	31.53846237
100	31.51926876
101	31.49948439
102	31.48585685
103	31.47760461
104	31.46639932
105	31.44626655
106	31.4350545
107	31.41436157
108	31.39689657
109	31.38133359
110	31.37255593
111	31.35702738
112	31.34940822
113	31.33609995
114	31.31861802
115	31.31399815
116	31.30272417
117	31.29347779
118	31.28114908
119	31.26904874
120	31.25162542
121	31.2356152
122	31.22238973
123	31.21114052
124	31.19867027
125	31.1820428
126	31.17292325
127	31.16466003
128	31.1437354
129	31.12451931
130	31.11307498
131	31.1015219
132	31.09126866
133	31.07507069
134	31.06086911
135	31.05299978
136	31.04807468
137	31.03885364
138	31.01867116
139	31.00338692
140	30.99536448
141	30.97862941
142	30.96653495
143	30.95120982
144	30.93417248
145	30.9292045
146	30.9191137
147	30.9129152
148	30.90286887
149	30.88155304
150	30.86892641
151	30.84837161
152	30.83586428
153	30.81987719
154	30.80389171
155	30.78637211
156	30.77094823
157	30.75715027
158	30.73918236
159	30.72880965
160	30.71252661
161	30.69791609
162	30.68832943
163	30.67027254
164	30.6533956
165	30.63213792
166	30.61015841
167	30.60025968
168	30.58891414
169	30.56897632
170	30.55583845
171	30.5307908
172	30.51539061
173	30.49906438
174	30.49221328
175	30.483625
176	30.47205424
177	30.4609443
178	30.44397292
179	30.43073409
180	30.41389449
181	30.39401776
182	30.38070676
183	30.36238326
184	30.34166753
185	30.32602143
186	30.30838813
187	30.30051059
188	30.2874831
189	30.27495246
190	30.26082391
191	30.24493788
192	30.22863332
193	30.21546246
194	30.20419248
195	30.19559271
196	30.18971766
197	30.17569935
198	30.16721099
199	30.1438818
200	30.13528853
201	30.11574423
202	30.10980791
203	30.0951365
204	30.08972546
205	30.07805995
206	30.06458388
207	30.04576798
208	30.03209867
209	30.0218328
210	30.00688071
211	29.99530631
212	29.98477803
213	29.97557043
214	29.96002226
215	29.95338385
216	29.94253667
217	29.92873612
218	29.91357751
219	29.89888921
220	29.8815581
221	29.87221264
222	29.86008796
223	29.84313025
224	29.83594407
225	29.82591362
226	29.81268627
227	29.8025259
228	29.79434063
229	29.77862312
230	29.7676239
231	29.75937565
232	29.74078116
233	29.7295842
